listingid,fetch_date,order_date,price,rented
43299022,2021-03-05,2021-05-06,389,True
43288989,2021-05-06,2021-05-06,899,True
43279439,2021-05-06,2021-05-06,500,True
43271861,2021-05-06,2021-05-06,899,True
43251885,2021-04-22,2021-05-06,188,True
43252107,2021-04-22,2021-05-06,188,True
43240094,2021-04-07,2021-05-06,208,True
43224845,,2021-05-06,230,False
43227456,,2021-05-06,599,False
43216370,2021-03-05,2021-05-06,1299,True
43191019,2021-03-05,2021-05-06,308,True
43181057,,2021-05-06,400,False
43181010,,2021-05-06,300,False
43181153,,2021-05-06,450,False
43181086,,2021-05-06,350,False
43181177,,2021-05-06,400,False
43181226,,2021-05-06,400,False
43168792,,2021-05-06,629,False
43171560,,2021-05-06,389,False
43167630,2021-04-23,2021-05-06,629,True
43173998,,2021-05-06,1099,False
43167224,2021-04-30,2021-05-06,399,True
43163630,,2021-05-06,180,False
43151016,,2021-05-06,280,False
43136580,,2021-05-06,358,False
43113862,2021-05-01,2021-05-06,99,True
43109129,2021-04-30,2021-05-06,399,True
43105606,,2021-05-06,500,False
43106166,2021-04-30,2021-05-06,399,True
43107381,2021-03-31,2021-05-06,268,True
43091552,,2021-05-06,210,False
43093652,,2021-05-06,259,False
43098101,,2021-05-06,668,False
43100426,2021-05-04,2021-05-06,209,True
43088770,2021-04-27,2021-05-06,80,True
43081856,2021-05-06,2021-05-06,308,True
43076774,,2021-05-06,70000,False
43056558,2021-05-06,2021-05-06,222,True
43056599,2021-05-06,2021-05-06,228,True
43056758,2021-05-06,2021-05-06,275,True
43062886,,2021-05-06,318,False
43014616,2021-04-13,2021-05-06,260,True
43015818,,2021-05-06,974,False
42978298,,2021-05-06,190,False
42990357,,2021-05-06,283,False
42970923,,2021-05-06,230,False
42917531,2021-05-02,2021-05-06,72,True
42910322,,2021-05-06,1488,False
42887044,,2021-05-06,230,False
42891069,2021-04-19,2021-05-06,199,True
42894731,2021-04-07,2021-05-06,150,True
42844795,2021-04-27,2021-05-06,468,True
42751175,2021-04-23,2021-05-06,350,True
42746818,2021-03-05,2021-05-06,568,True
42747785,2021-05-06,2021-05-06,200,True
42765654,2021-05-06,2021-05-06,399,True
42649136,2021-04-22,2021-05-06,160,True
